name,label_en,label_cn,grade
public,public,公共,root
system,system,系统,root
system1,system1,系统1,root
system2,system2,系统2,root
system3,system3,系统3,root
system4,system4,系统4,root
system5,system5,系统5,root
system6,system6,系统6,root
system7,system7,系统7,root
system8,system8,系统8,root
system9,system9,系统9,root
system10,system10,系统10,root
system11,system11,系统11,root
system12,system12,系统12,root
system13,system13,系统13,root
system14,system14,系统14,root
system15,system15,系统15,root
system16,system16,系统16,root
system17,system17,系统17,root
system18,system18,系统18,root
system19,system19,系统19,root
system20,system20,系统20,root
system21,system21,系统21,root
system22,system22,系统22,root
system23,system23,系统23,root
system24,system24,系统24,root
system25,system25,系统25,root
system26,system26,系统26,root
system27,system27,系统27,root
system28,system28,系统28,root
system29,system29,系统29,root
system30,system30,系统30,root
system31,system31,系统31,root
system32,system32,系统32,root
system33,system33,系统33,root
system34,system34,系统34,root
system35,system35,系统35,root
system36,system36,系统36,root
system37,system37,系统37,root
system38,system38,系统38,root
system39,system39,系统39,root
system40,system40,系统40,root
system41,system41,系统41,root
system42,system42,系统42,root
system43,system43,系统43,root
system44,system44,系统44,root
system45,system45,系统45,root
system46,system46,系统46,root
system47,system47,系统47,root
system48,system48,系统48,root
system49,system49,系统49,root
system50,system50,系统50,root
system51,system51,系统51,root
system52,system52,系统52,root
system53,system53,系统53,root
system54,system54,系统54,root
system55,system55,系统55,root
system56,system56,系统56,root
system57,system57,系统57,root
system58,system58,系统58,root
system59,system59,系统59,root
system60,system60,系统60,root
system61,system61,系统61,root
system62,system62,系统62,root
system63,system63,系统63,root
system64,system64,系统64,root
system65,system65,系统65,root
system66,system66,系统66,root
system67,system67,系统67,root
system68,system68,系统68,root
system69,system69,系统69,root
system70,system70,系统70,root
system71,system71,系统71,root
system72,system72,系统72,root
system73,system73,系统73,root
system74,system74,系统74,root
system75,system75,系统75,root
system76,system76,系统76,root
system77,system77,系统77,root
system78,system78,系统78,root
system79,system79,系统79,root
system80,system80,系统80,root
system81,system81,系统81,root
system82,system82,系统82,root
system83,system83,系统83,root
system84,system84,系统84,root
system85,system85,系统85,root
system86,system86,系统86,root
system87,system87,系统87,root
system88,system88,系统88,root
system89,system89,系统89,root
system90,system90,系统90,root
system91,system91,系统91,root
system92,system92,系统92,root
system93,system93,系统93,root
system94,system94,系统94,root
system95,system95,系统95,root
system96,system96,系统96,root
system97,system97,系统97,root
system98,system98,系统98,root
system99,system99,系统99,root
system100,system100,系统100,root
system101,system101,系统101,root
system102,system102,系统102,root
system103,system103,系统103,root
system104,system104,系统104,root
system105,system105,系统105,root
system106,system106,系统106,root
system107,system107,系统107,root
system108,system108,系统108,root
system109,system109,系统109,root
system110,system110,系统110,root
system111,system111,系统111,root
system112,system112,系统112,root
system113,system113,系统113,root
system114,system114,系统114,root
system115,system115,系统115,root
system116,system116,系统116,root
system117,system117,系统117,root
system118,system118,系统118,root
system119,system119,系统119,root
system120,system120,系统120,root
system121,system121,系统121,root
system122,system122,系统122,root
system123,system123,系统123,root
system124,system124,系统124,root
system125,system125,系统125,root
system126,system126,系统126,root
system127,system127,系统127,root
system128,system128,系统128,root
system129,system129,系统129,root
system130,system130,系统130,root
system131,system131,系统131,root
system132,system132,系统132,root
system133,system133,系统133,root
system134,system134,系统134,root
system135,system135,系统135,root
system136,system136,系统136,root
system137,system137,系统137,root
system138,system138,系统138,root
system139,system139,系统139,root
system140,system140,系统140,root
system141,system141,系统141,root
system142,system142,系统142,root
system143,system143,系统143,root
system144,system144,系统144,root
system145,system145,系统145,root
system146,system146,系统146,root
system147,system147,系统147,root
system148,system148,系统148,root
system149,system149,系统149,root
system150,system150,系统150,root
system151,system151,系统151,root
system152,system152,系统152,root
system153,system153,系统153,root
system154,system154,系统154,root
system155,system155,系统155,root
system156,system156,系统156,root
system157,system157,系统157,root
system158,system158,系统158,root
system159,system159,系统159,root
system160,system160,系统160,root
system161,system161,系统161,root
system162,system162,系统162,root
system163,system163,系统163,root
system164,system164,系统164,root
system165,system165,系统165,root
system166,system166,系统166,root
system167,system167,系统167,root
system168,system168,系统168,root
system169,system169,系统169,root
system170,system170,系统170,root
system171,system171,系统171,root
system172,system172,系统172,root
system173,system173,系统173,root
system174,system174,系统174,root
system175,system175,系统175,root
system176,system176,系统176,root
system177,system177,系统177,root
system178,system178,系统178,root
system179,system179,系统179,root
system180,system180,系统180,root
system181,system181,系统181,root
system182,system182,系统182,root
system183,system183,系统183,root
system184,system184,系统184,root
system185,system185,系统185,root
system186,system186,系统186,root
system187,system187,系统187,root
system188,system188,系统188,root
system189,system189,系统189,root
system190,system190,系统190,root
system191,system191,系统191,root
system192,system192,系统192,root
system193,system193,系统193,root
system194,system194,系统194,root
system195,system195,系统195,root
system196,system196,系统196,root
system197,system197,系统197,root
system198,system198,系统198,root
system199,system199,系统199,root
system200,system200,系统200,root
system201,system201,系统201,root
system202,system202,系统202,root
system203,system203,系统203,root
system204,system204,系统204,root
system205,system205,系统205,root
system206,system206,系统206,root
system207,system207,系统207,root
system208,system208,系统208,root
system209,system209,系统209,root
system210,system210,系统210,root
system211,system211,系统211,root
system212,system212,系统212,root
system213,system213,系统213,root
system214,system214,系统214,root
system215,system215,系统215,root
system216,system216,系统216,root
system217,system217,系统217,root
system218,system218,系统218,root
system219,system219,系统219,root
system220,system220,系统220,root
system221,system221,系统221,root
system222,system222,系统222,root
system223,system223,系统223,root
system224,system224,系统224,root
system225,system225,系统225,root
system226,system226,系统226,root
system227,system227,系统227,root
system228,system228,系统228,root
system229,system229,系统229,root
system230,system230,系统230,root
system231,system231,系统231,root
system232,system232,系统232,root
system233,system233,系统233,root
system234,system234,系统234,root
system235,system235,系统235,root
system236,system236,系统236,root
system237,system237,系统237,root
system238,system238,系统238,root
system239,system239,系统239,root
system240,system240,系统240,root
system241,system241,系统241,root
system242,system242,系统242,root
system243,system243,系统243,root
system244,system244,系统244,root
system245,system245,系统245,root
system246,system246,系统246,root
system247,system247,系统247,root
system248,system248,系统248,root
system249,system249,系统249,root
system250,system250,系统250,root
system251,system251,系统251,root
system252,system252,系统252,root
system253,system253,系统253,root
system254,system254,系统254,root
system255,system255,系统255,root
system256,system256,系统256,root
system257,system257,系统257,root
system258,system258,系统258,root
system259,system259,系统259,root
system260,system260,系统260,root
system261,system261,系统261,root
system262,system262,系统262,root
system263,system263,系统263,root
system264,system264,系统264,root
system265,system265,系统265,root
system266,system266,系统266,root
system267,system267,系统267,root
system268,system268,系统268,root
system269,system269,系统269,root
system270,system270,系统270,root
system271,system271,系统271,root
system272,system272,系统272,root
system273,system273,系统273,root
system274,system274,系统274,root
system275,system275,系统275,root
system276,system276,系统276,root
system277,system277,系统277,root
system278,system278,系统278,root
system279,system279,系统279,root
system280,system280,系统280,root
system281,system281,系统281,root
system282,system282,系统282,root
system283,system283,系统283,root
system284,system284,系统284,root
system285,system285,系统285,root
system286,system286,系统286,root
system287,system287,系统287,root
system288,system288,系统288,root
system289,system289,系统289,root
system290,system290,系统290,root
system291,system291,系统291,root
system292,system292,系统292,root
system293,system293,系统293,root
system294,system294,系统294,root
system295,system295,系统295,root
system296,system296,系统296,root
system297,system297,系统297,root
system298,system298,系统298,root
system299,system299,系统299,root
system300,system300,系统300,root
system301,system301,系统301,root
system302,system302,系统302,root
system303,system303,系统303,root
system304,system304,系统304,root
system305,system305,系统305,root
system306,system306,系统306,root
system307,system307,系统307,root
system308,system308,系统308,root
system309,system309,系统309,root
system310,system310,系统310,root
system311,system311,系统311,root
system312,system312,系统312,root
system313,system313,系统313,root
system314,system314,系统314,root
system315,system315,系统315,root
system316,system316,系统316,root
system317,system317,系统317,root
system318,system318,系统318,root
system319,system319,系统319,root
system320,system320,系统320,root
system321,system321,系统321,root
system322,system322,系统322,root
system323,system323,系统323,root
system324,system324,系统324,root
system325,system325,系统325,root
system326,system326,系统326,root
system327,system327,系统327,root
system328,system328,系统328,root
system329,system329,系统329,root
system330,system330,系统330,root
system331,system331,系统331,root
system332,system332,系统332,root
system333,system333,系统333,root
system334,system334,系统334,root
system335,system335,系统335,root
system336,system336,系统336,root
system337,system337,系统337,root
system338,system338,系统338,root
system339,system339,系统339,root
system340,system340,系统340,root
system341,system341,系统341,root
system342,system342,系统342,root
system343,system343,系统343,root
system344,system344,系统344,root
system345,system345,系统345,root
system346,system346,系统346,root
system347,system347,系统347,root
system348,system348,系统348,root
system349,system349,系统349,root
system350,system350,系统350,root
system351,system351,系统351,root
system352,system352,系统352,root
system353,system353,系统353,root
system354,system354,系统354,root
system355,system355,系统355,root
system356,system356,系统356,root
system357,system357,系统357,root
system358,system358,系统358,root
system359,system359,系统359,root
system360,system360,系统360,root
system361,system361,系统361,root
system362,system362,系统362,root
system363,system363,系统363,root
system364,system364,系统364,root
system365,system365,系统365,root
system366,system366,系统366,root
system367,system367,系统367,root
system368,system368,系统368,root
system369,system369,系统369,root
system370,system370,系统370,root
system371,system371,系统371,root
system372,system372,系统372,root
system373,system373,系统373,root
system374,system374,系统374,root
system375,system375,系统375,root
system376,system376,系统376,root
system377,system377,系统377,root
system378,system378,系统378,root
system379,system379,系统379,root
system380,system380,系统380,root
system381,system381,系统381,root
system382,system382,系统382,root
system383,system383,系统383,root
system384,system384,系统384,root
system385,system385,系统385,root
system386,system386,系统386,root
system387,system387,系统387,root
system388,system388,系统388,root
system389,system389,系统389,root
system390,system390,系统390,root
system391,system391,系统391,root
system392,system392,系统392,root
system393,system393,系统393,root
system394,system394,系统394,root
system395,system395,系统395,root
system396,system396,系统396,root
system397,system397,系统397,root
system398,system398,系统398,root
system399,system399,系统399,root
system400,system400,系统400,root
system401,system401,系统401,root
system402,system402,系统402,root
system403,system403,系统403,root
system404,system404,系统404,root
system405,system405,系统405,root
system406,system406,系统406,root
system407,system407,系统407,root
system408,system408,系统408,root
system409,system409,系统409,root
system410,system410,系统410,root
system411,system411,系统411,root
system412,system412,系统412,root
system413,system413,系统413,root
system414,system414,系统414,root
system415,system415,系统415,root
system416,system416,系统416,root
system417,system417,系统417,root
system418,system418,系统418,root
system419,system419,系统419,root
system420,system420,系统420,root
system421,system421,系统421,root
system422,system422,系统422,root
system423,system423,系统423,root
system424,system424,系统424,root
system425,system425,系统425,root
system426,system426,系统426,root
system427,system427,系统427,root
system428,system428,系统428,root
system429,system429,系统429,root
system430,system430,系统430,root
system431,system431,系统431,root
system432,system432,系统432,root
system433,system433,系统433,root
system434,system434,系统434,root
system435,system435,系统435,root
system436,system436,系统436,root
system437,system437,系统437,root
system438,system438,系统438,root
system439,system439,系统439,root
system440,system440,系统440,root
system441,system441,系统441,root
system442,system442,系统442,root
system443,system443,系统443,root
system444,system444,系统444,root
system445,system445,系统445,root
system446,system446,系统446,root
system447,system447,系统447,root
system448,system448,系统448,root
system449,system449,系统449,root
system450,system450,系统450,root
system451,system451,系统451,root
system452,system452,系统452,root
system453,system453,系统453,root
system454,system454,系统454,root
system455,system455,系统455,root
system456,system456,系统456,root
system457,system457,系统457,root
system458,system458,系统458,root
system459,system459,系统459,root
system460,system460,系统460,root
system461,system461,系统461,root
system462,system462,系统462,root
system463,system463,系统463,root
system464,system464,系统464,root
system465,system465,系统465,root
system466,system466,系统466,root
system467,system467,系统467,root
system468,system468,系统468,root
system469,system469,系统469,root
system470,system470,系统470,root
system471,system471,系统471,root
system472,system472,系统472,root
system473,system473,系统473,root
system474,system474,系统474,root
system475,system475,系统475,root
system476,system476,系统476,root
system477,system477,系统477,root
system478,system478,系统478,root
system479,system479,系统479,root
system480,system480,系统480,root
system481,system481,系统481,root
system482,system482,系统482,root
system483,system483,系统483,root
system484,system484,系统484,root
system485,system485,系统485,root
system486,system486,系统486,root
system487,system487,系统487,root
system488,system488,系统488,root
system489,system489,系统489,root
system490,system490,系统490,root
system491,system491,系统491,root
system492,system492,系统492,root
system493,system493,系统493,root
system494,system494,系统494,root
system495,system495,系统495,root
system496,system496,系统496,root
system497,system497,系统497,root
system498,system498,系统498,root
system499,system499,系统499,root
system500,system500,系统500,root
system501,system501,系统501,root
system502,system502,系统502,root
system503,system503,系统503,root
system504,system504,系统504,root
system505,system505,系统505,root
system506,system506,系统506,root
system507,system507,系统507,root
system508,system508,系统508,root
system509,system509,系统509,root
system510,system510,系统510,root
system511,system511,系统511,root
system512,system512,系统512,root
system513,system513,系统513,root
system514,system514,系统514,root
system515,system515,系统515,root
system516,system516,系统516,root
system517,system517,系统517,root
system518,system518,系统518,root
system519,system519,系统519,root
system520,system520,系统520,root
system521,system521,系统521,root
system522,system522,系统522,root
system523,system523,系统523,root
system524,system524,系统524,root
system525,system525,系统525,root
system526,system526,系统526,root
system527,system527,系统527,root
system528,system528,系统528,root
system529,system529,系统529,root
system530,system530,系统530,root
system531,system531,系统531,root
system532,system532,系统532,root
system533,system533,系统533,root
system534,system534,系统534,root
system535,system535,系统535,root
system536,system536,系统536,root
system537,system537,系统537,root
system538,system538,系统538,root
system539,system539,系统539,root
system540,system540,系统540,root
system541,system541,系统541,root
system542,system542,系统542,root
system543,system543,系统543,root
system544,system544,系统544,root
system545,system545,系统545,root
system546,system546,系统546,root
system547,system547,系统547,root
system548,system548,系统548,root
system549,system549,系统549,root
system550,system550,系统550,root
system551,system551,系统551,root
system552,system552,系统552,root
system553,system553,系统553,root
system554,system554,系统554,root
system555,system555,系统555,root
system556,system556,系统556,root
system557,system557,系统557,root
system558,system558,系统558,root
system559,system559,系统559,root
system560,system560,系统560,root
system561,system561,系统561,root
system562,system562,系统562,root
system563,system563,系统563,root
system564,system564,系统564,root
system565,system565,系统565,root
system566,system566,系统566,root
system567,system567,系统567,root
system568,system568,系统568,root
system569,system569,系统569,root
system570,system570,系统570,root
system571,system571,系统571,root
system572,system572,系统572,root
system573,system573,系统573,root
system574,system574,系统574,root
system575,system575,系统575,root
system576,system576,系统576,root
system577,system577,系统577,root
system578,system578,系统578,root
system579,system579,系统579,root
system580,system580,系统580,root
system581,system581,系统581,root
system582,system582,系统582,root
system583,system583,系统583,root
system584,system584,系统584,root
system585,system585,系统585,root
system586,system586,系统586,root
system587,system587,系统587,root
system588,system588,系统588,root
system589,system589,系统589,root
system590,system590,系统590,root
system591,system591,系统591,root
system592,system592,系统592,root
